,state,year,total_votes,dem_votes,rep_votes,other_votes,green_votes,unemployment_rate,median_income,med_age,bach_per,total_pop,dem_votes_per,rep_votes_per,other_votes_per,green_votes_per,voter_participation
85,NORTH DAKOTA,2004,312833,111052.0,196651.0,5130.0,,3.4,61900.0,45.0,0.28470968727118956,644705,0.3549881246543683,0.6286133496146507,0.016398525730981068,,0.4852343319812938
86,OHIO,2004,5625631,2739952.0,2858727.0,26952.0,,6.2,67950.0,45.0,0.22834179709421706,11452251,0.48704794182199296,0.5081611289471349,0.004790929230872057,,0.4912249129014025
87,OKLAHOMA,2004,1463758,503966.0,959792.0,0.0,,4.7,62520.0,45.0,0.2599685912693544,3525233,0.3442959833524394,0.6557040166475606,0.0,,0.4152230505047468
88,OREGON,2004,1836782,943163.0,866831.0,26788.0,,7.4,64700.0,45.0,0.2988232979537677,3569463,0.5134866304221187,0.47192916742433233,0.014584202153548978,,0.5145821654405719
89,PENNSYLVANIA,2004,5765764,2938095.0,2793847.0,33822.0,,5.4,69610.0,46.0,0.2276436746596594,12410722,0.5095760076201523,0.48455798745838363,0.005866004921464007,,0.46457925654929666
90,RHODE ISLAND,2004,436289,259760.0,169046.0,7483.0,,5.3,,45.0,0.26797174281107833,1074579,0.5953851690049485,0.3874633557114665,0.017151475283584964,,0.40600923710588055
91,SOUTH CAROLINA,2004,1617730,661699.0,937974.0,18057.0,,6.9,61070.0,44.0,0.2737524196807033,4210921,0.4090293188603784,0.5798087443516532,0.011161936787968327,,0.38417486340874124
92,SOUTH DAKOTA,2004,388215,149244.0,232584.0,6387.0,,3.6,64880.0,45.0,0.2695364130876025,770396,0.38443645917854796,0.5991113171824891,0.016452223638962947,,0.5039161677890331
93,TENNESSEE,2004,2430494,1032910.0,1381225.0,16359.0,,5.3,60090.0,44.0,0.24404852905606078,5910809,0.42497944862237885,0.5682898209170646,0.006730730460556578,,0.4111948127574415
94,TEXAS,2004,7410749,2832704.0,4526917.0,51128.0,,6.0,65340.0,42.0,0.31243511506031935,22394023,0.3822426046274135,0.6108582276906154,0.006899167681971147,,0.33092530984718554
